Date,Open,High,Low,Close
"Jun 9, 2021",200.72,203.93,199.21,199.59
"Jun 10, 2021",201.29,205.53,200.17,203.37
"Jun 11, 2021",203.41,204.19,200.51,203.3
"Jun 14, 2021",204.08,208.5,203.06,205.9
"Jun 15, 2021",205.56,205.6,199.41,199.79
"Jun 16, 2021",199.18,202.83,197.83,201.62
"Jun 17, 2021",200.63,207.16,200.45,205.53
"Jun 18, 2021",204.46,209.45,203.93,207.77
"Jun 21, 2021",208.16,210.46,202.96,206.94
"Jun 22, 2021",206.08,209.52,205.17,207.9
"Jun 23, 2021",210.67,219.07,210.01,218.86
"Jun 24, 2021",225,232.54,222.54,226.61
"Jun 25, 2021",229.86,231.27,222.9,223.96
"Jun 28, 2021",223.88,231.57,223.44,229.57
"Jun 29, 2021",228.22,229.17,225.3,226.92
"Jun 30, 2021",226.59,230.94,226.05,226.57
"Jul 1, 2021",227.97,229.33,224.27,225.97
"Jul 2, 2021",226.33,233.33,224.42,226.3
"Jul 6, 2021",227.24,228,217.13,219.86
"Jul 7, 2021",221.42,221.9,212.77,214.88
"Jul 8, 2021",209.46,218.14,206.82,217.6
"Jul 9, 2021",217.73,219.64,214.9,218.98
"Jul 12, 2021",220.73,229.08,220.72,228.57
"Jul 13, 2021",228.77,231.09,222.1,222.85
"Jul 14, 2021",223.58,226.2,217.61,217.79
"Jul 15, 2021",219.46,222.05,212.63,216.87
"Jul 16, 2021",218.23,218.9,214.07,214.74
"Jul 19, 2021",209.96,215.73,207.1,215.41
"Jul 20, 2021",217.33,220.8,213.5,220.17
"Jul 21, 2021",219.87,221.62,216.76,218.43
"Jul 22, 2021",218.81,220.72,214.87,216.42
"Jul 23, 2021",215.45,216.27,212.43,214.46
"Jul 26, 2021",216.99,222.73,215.7,219.21
"Jul 27, 2021",221.13,222.17,209.08,214.93
"Jul 28, 2021",215.67,218.32,213.13,215.66
"Jul 29, 2021",216.6,227.9,216.27,225.78
"Jul 30, 2021",223.92,232.51,223,229.07
"Aug 2, 2021",233.33,242.31,232.8,236.56
"Aug 3, 2021",239.67,240.88,233.67,236.58
"Aug 4, 2021",237,241.63,236.31,236.97
